ability,classes,wowhead_effects,effect_profile
Drain Soul,Warlock,Apply Aura: Aura #86 + Apply Aura: Periodic Damage + Apply Aura: Proc Trigger Spell + → Apply Aura: Mod Power Regen % + → Apply Aura: Mod Manaregen Interrupt,Damage over time
Eagle Eye,Hunter,Far Sight + Apply Aura: Dummy,Perception
Earth Shock,Shaman,School Damage (Nature) + Interrupt Cast,Interrupt / lockout
Earthbind Totem,Shaman,Summon,Summoning
Elune's Grace,Priest,Apply Aura: Aura #113 + Apply Aura: Mod Dodge %,Stat & combat mods
Enrage,Druid,Apply Aura: Periodically give power (Rage) + Give Power (Rage) + Apply Aura: Interrupt Power Decay + Apply Aura: Dummy,Resource manipulation
Entangling Roots,Druid,Apply Aura: Root + Apply Aura: Periodic Damage,Damage over time
Evasion,Rogue,Apply Aura: Mod Dodge %,Stat & combat mods
Eviscerate,Rogue,School Damage (Physical) + Dummy,Direct spell damage
Execute,Warrior,Dummy + Trigger Spell + → Apply Aura: Dummy,Other / utility
Exorcism,Paladin,School Damage (Holy),Direct spell damage
Explosive Trap,Hunter,Effect #320,Other / utility
Expose Armor,Rogue,Apply Aura: Mod Resistance + Dummy,Stat & combat mods
Eye of Kilrogg,Warlock,Summon + Apply Aura: Dummy,Summoning
Eyes of the Beast,Hunter,Apply Aura: Mod Possess Pet + Apply Aura: Dummy,Companion care
Fade,Priest,Apply Aura: Mod Total Threat,Threat manipulation
Faerie Fire,Druid,Apply Aura: Mod Resistance (Physical) + Apply Aura: Immunity - Debuffs Only (6) + Apply Aura: Immunity - Debuffs Only (5),Stat & combat mods
Faerie Fire (Feral),Druid,Apply Aura: Mod Resistance (Physical) + Apply Aura: Immunity - Debuffs Only (6) + Apply Aura: Immunity - Debuffs Only (5),Stat & combat mods
Far Sight,Shaman,Far Sight + Apply Aura: Dummy,Perception
Fear,Warlock,Apply Aura: Mod Fear + Apply Aura: Mod Increase Speed,Hard control
Fear Ward,Priest,Apply Aura: Immunity - Mechanic,Immunity
Feed Pet,Hunter,Effect #101,Other / utility
Feedback,Priest,Apply Aura: Proc Trigger Spell + → Power Burn,Resource manipulation
Feign Death,Hunter,Apply Aura: Feign Death,Concealment
Feint,Rogue,Threat,Threat manipulation
Feline Grace,Druid,Apply Aura: Aura #144,Other / utility
Ferocious Bite,Druid,School Damage (Physical),Direct spell damage
Fire Blast,Mage,School Damage (Fire),Direct spell damage
Fire Nova Totem,Shaman,Summon,Summoning
Fire Resistance Aura,Paladin,Apply Area Aura: Mod Resistance - Flat - Does not Stack,Stat & combat mods
Fire Resistance Totem,Shaman,Summon,Summoning
Fire Ward,Mage,Apply Aura: School Absorb + Apply Aura: Reflect School Spells,Absorb & shields
Fireball,Mage,School Damage (Fire) + Apply Aura: Periodic Damage,Damage + affliction
Flame Shock,Shaman,School Damage (Fire) + Apply Aura: Periodic Damage + Apply Aura: Dummy,Damage + affliction
Flamestrike,Mage,School Damage (Fire) + Apply Aura: Periodic Damage,Damage + affliction
Flametongue Totem,Shaman,Summon,Summoning
Flametongue Weapon,Shaman,Enchant Item (temporary),Item creation
Flare,Hunter,Persistent Area Aura: Immunity - Debuffs Only (5) + Persistent Area Aura: Immunity - Debuffs Only (6),Immunity
Flash Heal,Priest,Heal,Healing
Flash of Light,Paladin,Script Effect,Other / utility
Freezing Trap,Hunter,Effect #320,Other / utility
Frenzied Regeneration,Druid,Apply Aura: Periodically trigger spell,Other / utility
Frost Armor,Mage,Apply Aura: Mod Resistance (Physical) + Apply Aura: Proc Trigger Spell,Stat & combat mods
Frost Nova,Mage,School Damage (Frost) + Apply Aura: Root,Direct spell damage
Frost Resistance Aura,Paladin,Apply Area Aura: Mod Resistance - Flat - Does not Stack,Stat & combat mods
Frost Resistance Totem,Shaman,Summon,Summoning
Frost Shock,Shaman,Apply Aura: Mod Decrease Speed + School Damage (Frost),Root & snare
Frost Trap,Hunter,Effect #320,Other / utility
Frost Ward,Mage,Apply Aura: School Absorb + Apply Aura: Reflect School Spells,Absorb & shields
Frostbolt,Mage,Apply Aura: Mod Decrease Speed + School Damage (Frost),Root & snare
Frostbrand Weapon,Shaman,Enchant Item (temporary),Item creation
Garrote,Rogue,Apply Aura: Periodic Damage + Add Combo Points,Damage over time
Ghost Wolf,Shaman,Apply Aura: Shapeshift + Apply Aura: Mod Increase Speed,Shapeshift
Gift of the Wild,Druid,Apply Aura: Mod Resistance (Physical) + Apply Aura: Mod Stat (All) + Apply Aura: Mod Resistance - Flat - Does not Stack (126),Stat & combat mods
Gouge,Rogue,School Damage (Physical) + Add Combo Points + Apply Aura: Stun,Hard control
Grace of Air Totem,Shaman,Summon,Summoning
Greater Blessing of Kings,Paladin,Apply Aura: Aura #137,Other / utility
Greater Blessing of Light,Paladin,Apply Aura: Dummy + Apply Aura: Dummy,Other / utility
Greater Blessing of Might,Paladin,Apply Aura: Mod Attack Power,Stat & combat mods
Greater Blessing of Salvation,Paladin,Apply Aura: Mod Threat,Threat manipulation
Greater Blessing of Sanctuary,Paladin,Apply Aura: Mod Damage Taken + Apply Aura: Proc Trigger Damage,Stat & combat mods
Greater Blessing of Wisdom,Paladin,Apply Aura: Periodically give power,Other / utility
Greater Heal,Priest,Heal,Healing
Grounding Totem,Shaman,Summon,Summoning
Growl,Druid,Taunt + Apply Aura: Taunt,Threat manipulation
Hammer of Justice,Paladin,Apply Aura: Stun,Hard control
Hammer of Wrath,Paladin,School Damage (Holy),Direct spell damage
Hamstring,Warrior,School Damage (Physical) + Apply Aura: Mod Decrease Speed,Root & snare
Heal,Priest,Heal,Healing
Healing Stream Totem,Shaman,Summon,Summoning
Healing Touch,Druid,Heal,Healing
Healing Wave,Shaman,Heal,Healing
Health Funnel,Warlock,Apply Aura: Periodic Heal + Apply Aura: Aura #88,Healing
Hellfire,Warlock,Apply Aura: Periodically trigger spell + → School Damage (Fire) + Apply Aura: Periodic Damage + Apply Aura: Immunity - Mechanic,Damage + affliction
Hemorrhage,Rogue,Weapon Damage (noschool) + Add Combo Points + Apply Aura: Mod Damage Taken,Weapon strike
Heroic Strike,Warrior,Weapon Damage (noschool),Weapon strike
Hex of Weakness,Priest,Apply Aura: Mod Damage Done + Apply Aura: Mod Healing Received %,Stat & combat mods
Hibernate,Druid,Apply Aura: Stun,Hard control
Holy Fire,Priest,School Damage (Holy) + Apply Aura: Periodic Damage,Damage + affliction
Holy Light,Paladin,Script Effect,Other / utility
Holy Nova,Priest,School Damage (Holy),Direct spell damage
Holy Wrath,Paladin,School Damage (Holy),Direct spell damage
Howl of Terror,Warlock,Apply Aura: Mod Fear + Apply Aura: Mod Increase Speed,Hard control
Hunter's Mark,Hunter,Apply Aura: Stalked + Apply Aura: Mod Attacker Ranged Attack Power,Stat & combat mods
Hurricane,Druid,Persistent Area Aura: Periodic Damage + Persistent Area Aura: Mod Melee Attack Speed - %,Damage over time
Ice Armor,Mage,Apply Aura: Mod Resistance + Apply Aura: Proc Trigger Spell + → Apply Aura: Mod Decrease Speed + → Apply Aura: Mod Haste + Apply Aura: Mod Resistance,Root & snare
Ice Barrier,Mage,Apply Aura: School Absorb,Absorb & shields
Ice Block,Mage,Apply Aura: Stun + Apply Aura: Immunity (Physical) + Apply Aura: Immunity (All),Hard control
Immolate,Warlock,Apply Aura: Periodic Damage + School Damage (Fire) + Script Effect,Damage + affliction
Immolation Trap,Hunter,Effect #320,Other / utility
Inferno,Warlock,Summon,Summoning
Inner Fire,Priest,Apply Aura: Mod Resistance,Stat & combat mods
Insect Swarm,Druid,Apply Aura: Periodic Damage + Apply Aura: Mod Melee & Ranged Hit Chance %,Damage over time
Intercept,Warrior,Effect #96 + Trigger Spell + → Apply Aura: Stun + → School Damage (Physical),Hard control
Intimidating Shout,Warrior,Trigger Spell + → Apply Aura: Stun + Apply Aura: Mod Fear + Apply Aura: Mod Increase Speed,Hard control
Judgement,Paladin,Script Effect,Other / utility
Kick,Rogue,School Damage (Physical) + Interrupt Cast,Interrupt / lockout
Kidney Shot,Rogue,Apply Aura: Stun + Dummy + Apply Aura: Mod Damage % Taken,Hard control
Lay on Hands,Paladin,Heal Max Health + Give Power,Healing
Lesser Heal,Priest,Heal,Healing
Lesser Healing Wave,Shaman,Heal,Healing
Levitate,Priest,Apply Aura: Feather Fall + Apply Aura: Hover + Apply Aura: Water Walk,Movement
Life Tap,Warlock,Dummy,Other / utility
Lightning Bolt,Shaman,School Damage (Nature),Direct spell damage
Lightning Breath,Hunter,Learn Spell,Other / utility
Lightning Shield,Shaman,Apply Aura: Proc Trigger Spell + → Dummy,Other / utility
Lightwell,Priest,Trans Door,Summoning
Mage Armor,Mage,Apply Aura: Mod Resistance + Apply Aura: Mod Manaregen Interrupt,Stat & combat mods
Magma Totem,Shaman,Summon,Summoning
Mana Burn,Priest,Power Burn,Resource manipulation
Mana Shield,Mage,Apply Aura: Mana Shield,Absorb & shields
Mana Spring Totem,Shaman,Summon,Summoning
Mana Tide Totem,Shaman,Summon,Summoning
Mangle,Druid,School Damage (Physical) + Apply Aura: Stun,Hard control
Mark of the Wild,Druid,Apply Aura: Mod Resistance (Physical) + Apply Aura: Mod Stat (All) + Apply Aura: Mod Resistance - Flat - Does not Stack (126),Stat & combat mods
Maul,Druid,Weapon Damage,Weapon strike
Mend Pet,Hunter,Apply Aura: Periodic Heal,Healing
Mind Blast,Priest,School Damage (Shadow),Direct spell damage
Mind Control,Priest,Apply Aura: Mod Possess + Apply Aura: Dummy + Apply Aura: Mod Haste,Hard control
Mind Flay,Priest,Apply Aura: Periodic Damage + Apply Aura: Mod Decrease Speed,Root & snare
Mind Soothe,Priest,Apply Aura: Aura #91,Other / utility
Mind Vision,Priest,Apply Aura: Bind Sight + Apply Aura: Dummy + Apply Aura: Mod Stalked,Perception
Mind-numbing Poison,Rogue,Create Item,Item creation
Mind-numbing Poison II,Rogue,Create Item,Item creation
Mind-numbing Poison III,Rogue,Create Item,Item creation
Mocking Blow,Warrior,School Damage (Physical) + Apply Aura: Taunt,Threat manipulation
Mongoose Bite,Hunter,School Damage (Physical),Direct spell damage
Moonfire,Druid,Apply Aura: Periodic Damage + School Damage (Arcane),Damage + affliction
Moonkin Form,Druid,"Apply Aura: Shapeshift (Moonkin Form) + Apply Aura: Immunity - Mechanic (Polymorphed) + Trigger Spell
Moonkin Aura + Apply Aura: Mod Threat (72)",Shapeshift
Mortal Strike,Warrior,Apply Aura: Mod Healing Received % + Normalized Weapon Dmg,Weapon strike
Multi-Shot,Hunter,Normalized Weapon Dmg,Weapon strike
Nature Resistance Totem,Shaman,Summon,Summoning
Nature's Grasp,Druid,Apply Aura: Proc Trigger Spell + → Apply Aura: Mod Root + → Apply Aura: Periodic Damage,Root & snare
Overpower,Warrior,Normalized Weapon Dmg,Weapon strike
Pick Lock,Rogue,Open Lock,Other / utility
Pick Pocket,Rogue,Effect #71,Other / utility
Poison Cleansing Totem,Shaman,Summon,Summoning
Poisons,Rogue,Effect #47,Other / utility
Polymorph,Mage,Apply Aura: Mod Confuse + Apply Aura: Transform + Dispel Mechanic,Dispel / cleanse
Polymorph: Cow,Mage,Apply Aura: Mod Confuse + Apply Aura: Transform + Dispel Mechanic,Dispel / cleanse
Portal: Darnassus,Mage,Trans Door,Summoning
Portal: Ironforge,Mage,Trans Door,Summoning
Portal: Orgrimmar,Mage,Trans Door,Summoning
Portal: Stormwind,Mage,Trans Door,Summoning
Portal: Thunder Bluff,Mage,Trans Door,Summoning
Portal: Undercity,Mage,Trans Door,Summoning
Pounce,Druid,"Apply Aura: Stun + Trigger Spell
Pounce Bleed + Add Combo Points",Hard control
Power Infusion,Priest,Apply Aura: Aura #136 + Apply Aura: Mod Damage % Done,Stat & combat mods
Power Word: Fortitude,Priest,Apply Aura: Mod Stat (Stamina),Stat & combat mods
Power Word: Shield,Priest,Apply Aura: School Absorb,Absorb & shields
Prayer of Fortitude,Priest,Apply Aura: Mod Stat (Stamina),Stat & combat mods
Prayer of Healing,Priest,Heal,Healing
Prayer of Shadow Protection,Priest,Apply Aura: Mod Resistance - Flat - Does not Stack,Stat & combat mods
Prayer of Spirit,Priest,Apply Aura: Mod Stat (Spirit),Stat & combat mods
Prowl,Druid,Apply Aura: Stealth + Apply Aura: Decrease Run Speed %,Concealment
Prowl,Hunter,Learn Spell,Other / utility
Psychic Scream,Priest,Apply Aura: Mod Fear + Apply Aura: Mod Increase Speed,Hard control
Pummel,Warrior,School Damage (Physical) + Interrupt Cast,Interrupt / lockout
Purge,Shaman,Dispel,Dispel / cleanse
Purify,Paladin,Dispel + Dispel,Dispel / cleanse
Pyroblast,Mage,School Damage (Fire) + Apply Aura: Periodic Damage,Damage + affliction
Rain of Fire,Warlock,Apply Aura: Periodic Damage + Apply Aura: Dummy,Damage over time
Rake,Druid,School Damage (Physical) + Apply Aura: Periodic Damage + Add Combo Points,Damage + affliction
Rapid Fire,Hunter,Apply Aura: Mod Ranged Attack Speed - % + Apply Aura: Mod Melee Attack Speed - %,Other / utility
Raptor Strike,Hunter,Weapon Damage,Weapon strike
Ravage,Druid,Deal Weapon Damage + Weapon Damage - % + Add Combo Points,Weapon strike
Rebirth,Druid,Effect #329,Other / utility
Recklessness,Warrior,Apply Aura: Mod Crit % + Apply Aura: Mod Damage % Taken + Apply Aura: Immunity - Mechanic,Stat & combat mods
Redemption,Paladin,Effect #329,Other / utility
Regrowth,Druid,Heal + Apply Aura: Periodic Heal,Healing
Reincarnation,Shaman,Apply Aura: Dummy,Other / utility
Rejuvenation,Druid,Apply Aura: Periodic Heal,Healing
Remove Curse,Druid,Dispel,Dispel / cleanse
Remove Lesser Curse,Mage,Dispel,Dispel / cleanse
Rend,Warrior,Apply Aura: Periodic Damage,Damage over time
Renew,Priest,Apply Aura: Periodic Heal,Healing
Repentance,Paladin,Apply Aura: Stun,Hard control
Resurrection,Priest,Effect #329,Other / utility
Retaliation,Warrior,Apply Aura: Dummy,Other / utility
Retribution Aura,Paladin,Apply Area Aura: Damage Shield,Absorb & shields
Revenge,Warrior,School Damage (Physical),Direct spell damage
Revive Pet,Hunter,Summon Dead Pet,Companion care
Righteous Fury,Paladin,Apply Aura: Mod Threat + Apply Aura: Add Pct Modifier,Threat manipulation
Rip,Druid,Apply Aura: Periodic Damage,Damage over time
Ritual of Doom,Warlock,Trans Door,Summoning
Ritual of Summoning,Warlock,Trans Door,Summoning
Rockbiter Weapon,Shaman,Enchant Item (temporary),Item creation
Rupture,Rogue,Apply Aura: Periodic Damage + Dummy,Damage over time
Safe Fall,Rogue,Apply Aura: Aura #144,Other / utility
Sanctity Aura,Paladin,Apply Area Aura: Mod Damage % Done,Stat & combat mods
Sap,Rogue,Apply Aura: Stun,Hard control
Scare Beast,Hunter,Apply Aura: Fear + Apply Aura: Increase Run Speed %,Hard control
Scorch,Mage,School Damage (Fire),Direct spell damage
Scorpid Poison,Hunter,Learn Spell,Other / utility
Scorpid Sting,Hunter,Apply Aura: Mod Stat (Strength) + Apply Aura: Mod Stat (Agility),Stat & combat mods
Seal of Justice,Paladin,Apply Aura: Proc Trigger Spell + → Apply Aura: Stun + Apply Aura: Dummy,Hard control
Seal of Light,Paladin,Apply Aura: Proc Trigger Spell + → Heal + Apply Aura: Dummy,Healing
Seal of Righteousness,Paladin,Apply Aura: Dummy + Apply Aura: Dummy,Other / utility
Seal of Wisdom,Paladin,Apply Aura: Proc Trigger Spell + → Give Power + Apply Aura: Dummy,Resource manipulation
Seal of the Crusader,Paladin,Apply Aura: Mod Attack Power + Apply Aura: Mod Attack Speed + Apply Aura: Dummy,Stat & combat mods
Searing Pain,Warlock,School Damage (Fire),Direct spell damage
Searing Totem,Shaman,Summon,Summoning
Sense Demons,Warlock,Apply Aura: Track Creatures,Perception
Sense Undead,Paladin,Apply Aura: Track Creatures + Effect #167,Perception
Sentry Totem,Shaman,Summon + Apply Aura: Dummy,Summoning
Serpent Sting,Hunter,Apply Aura: Periodic Damage,Damage over time
Shackle Undead,Priest,Apply Aura: Stun,Hard control
Shadow Bolt,Warlock,School Damage (Shadow),Direct spell damage
Shadow Protection,Priest,Apply Aura: Mod Resistance - Flat - Does not Stack,Stat & combat mods
Shadow Resistance Aura,Paladin,Apply Area Aura: Mod Resistance - Flat - Does not Stack,Stat & combat mods
Shadow Ward,Warlock,Apply Aura: School Absorb,Absorb & shields
Shadow Word: Pain,Priest,Apply Aura: Periodic Damage,Damage over time
Shadowburn,Warlock,Apply Aura: Aura #86 + School Damage (Shadow),Direct spell damage
Shadowguard,Priest,Apply Aura: Proc Trigger Spell + → Dummy,Other / utility
Shield Bash,Warrior,Interrupt Cast + School Damage (Physical),Interrupt / lockout
Shield Block,Warrior,Apply Aura: Mod Block %,Stat & combat mods
Shield Slam,Warrior,Dispel + School Damage (Physical),Dispel / cleanse
Shield Wall,Warrior,Apply Aura: Mod Damage % Taken,Stat & combat mods
Shred,Druid,Deal Weapon Damage + Weapon Damage - % + Add Combo Points,Weapon strike
Sinister Strike,Rogue,Normalized Weapon Dmg + Add Combo Points,Weapon strike
Siphon Life,Warlock,Apply Aura: Periodic Leech,Damage over time
Slam,Warrior,Weapon Damage (noschool),Weapon strike
